instance_name,configLB,configValSplit,lastNDCpu
Kirlik14-ILP_p-3_n-30_m-15_ins-5,WLP,rand,365.503
Kirlik14-ILP_p-3_n-30_m-15_ins-6,WLP,med,244.666
Kirlik14-ILP_p-3_n-30_m-15_ins-6,WLP,mofv,242.945
Kirlik14-ILP_p-3_n-30_m-15_ins-6,WLP,rand,288.301
Kirlik14-ILP_p-3_n-30_m-15_ins-7,WLP,med,281.439
Kirlik14-ILP_p-3_n-30_m-15_ins-7,WLP,mofv,307.196
Kirlik14-ILP_p-3_n-30_m-15_ins-7,WLP,rand,344.739
Kirlik14-ILP_p-3_n-30_m-15_ins-8,WLP,med,3593.88
Kirlik14-ILP_p-3_n-30_m-15_ins-8,WLP,mofv,3544.75
Kirlik14-ILP_p-3_n-30_m-15_ins-8,WLP,rand,3541.4
Kirlik14-ILP_p-3_n-30_m-15_ins-9,WLP,med,224.201
Kirlik14-ILP_p-3_n-30_m-15_ins-9,WLP,mofv,251.981
Kirlik14-ILP_p-3_n-30_m-15_ins-9,WLP,rand,257.669
Kirlik14-ILP_p-3_n-40_m-20_ins-1,WLP,med,1582.55
Kirlik14-ILP_p-3_n-40_m-20_ins-1,WLP,mofv,1558.62
Kirlik14-ILP_p-3_n-40_m-20_ins-1,WLP,rand,1615.82
Kirlik14-ILP_p-3_n-40_m-20_ins-10,WLP,med,3579.86
Kirlik14-ILP_p-3_n-40_m-20_ins-10,WLP,mofv,3590.73
Kirlik14-ILP_p-3_n-40_m-20_ins-10,WLP,rand,3413.32
Kirlik14-ILP_p-3_n-40_m-20_ins-2,WLP,med,219.333
Kirlik14-ILP_p-3_n-40_m-20_ins-2,WLP,mofv,240.162
Kirlik14-ILP_p-3_n-40_m-20_ins-2,WLP,rand,302.861
Kirlik14-ILP_p-3_n-40_m-20_ins-3,WLP,med,1502.48
Kirlik14-ILP_p-3_n-40_m-20_ins-3,WLP,mofv,1864.62
Kirlik14-ILP_p-3_n-40_m-20_ins-3,WLP,rand,2496.43
Kirlik14-ILP_p-3_n-40_m-20_ins-4,WLP,med,972.294
Kirlik14-ILP_p-3_n-40_m-20_ins-4,WLP,mofv,845.121
Kirlik14-ILP_p-3_n-40_m-20_ins-4,WLP,rand,1273.68
Kirlik14-ILP_p-3_n-40_m-20_ins-5,WLP,med,3562.73
Kirlik14-ILP_p-3_n-40_m-20_ins-5,WLP,mofv,3540.69
Kirlik14-ILP_p-3_n-40_m-20_ins-5,WLP,rand,3581.33
Kirlik14-ILP_p-3_n-40_m-20_ins-6,WLP,mofv,3596.61
Kirlik14-ILP_p-3_n-40_m-20_ins-6,WLP,rand,3390.8
Kirlik14-ILP_p-3_n-40_m-20_ins-10,WLP,med,3579.86
Kirlik14-ILP_p-3_n-40_m-20_ins-10,WLP,mofv,3590.73
Kirlik14-ILP_p-3_n-40_m-20_ins-10,WLP,rand,3413.32
Kirlik14-ILP_p-3_n-40_m-20_ins-7,WLP,med,776.267
Kirlik14-ILP_p-3_n-40_m-20_ins-7,WLP,mofv,723.651
Kirlik14-ILP_p-3_n-40_m-20_ins-7,WLP,rand,842.256
Kirlik14-ILP_p-3_n-40_m-20_ins-8,WLP,med,1926.43
Kirlik14-ILP_p-3_n-40_m-20_ins-8,WLP,mofv,1842.7
Kirlik14-ILP_p-3_n-40_m-20_ins-8,WLP,rand,3544.71
Kirlik14-ILP_p-3_n-40_m-20_ins-9,WLP,med,3514.18
Kirlik14-ILP_p-3_n-40_m-20_ins-9,WLP,mofv,3595.21
Kirlik14-ILP_p-3_n-40_m-20_ins-9,WLP,rand,3586.25
Kirlik14-ILP_p-4_n-10_m-5_ins-1,WLP,med,10.3634
Kirlik14-ILP_p-4_n-10_m-5_ins-1,WLP,mofv,9.346
Kirlik14-ILP_p-4_n-10_m-5_ins-1,WLP,rand,9.06724
Kirlik14-ILP_p-4_n-10_m-5_ins-10,WLP,med,0.933295
Kirlik14-ILP_p-4_n-10_m-5_ins-10,WLP,mofv,1.35638
Kirlik14-ILP_p-4_n-10_m-5_ins-10,WLP,rand,1.22705
Kirlik14-ILP_p-4_n-10_m-5_ins-2,WLP,med,1.8963
Kirlik14-ILP_p-4_n-10_m-5_ins-2,WLP,mofv,1.7495
Kirlik14-ILP_p-4_n-10_m-5_ins-2,WLP,rand,1.73401
Kirlik14-ILP_p-4_n-10_m-5_ins-3,WLP,med,11.4958
Kirlik14-ILP_p-4_n-10_m-5_ins-3,WLP,mofv,11.7092
Kirlik14-ILP_p-4_n-10_m-5_ins-3,WLP,rand,11.0182
Kirlik14-ILP_p-4_n-10_m-5_ins-4,WLP,med,0.751948
Kirlik14-ILP_p-4_n-10_m-5_ins-4,WLP,mofv,0.902715
Kirlik14-ILP_p-4_n-10_m-5_ins-4,WLP,rand,0.874428
Kirlik14-ILP_p-4_n-10_m-5_ins-5,WLP,med,10.7054
Kirlik14-ILP_p-4_n-10_m-5_ins-5,WLP,mofv,11.1308
Kirlik14-ILP_p-4_n-10_m-5_ins-5,WLP,rand,11.4173
Kirlik14-ILP_p-4_n-10_m-5_ins-6,WLP,med,7.45681
Kirlik14-ILP_p-4_n-10_m-5_ins-6,WLP,mofv,7.2494
Kirlik14-ILP_p-4_n-10_m-5_ins-6,WLP,rand,7.23476
Kirlik14-ILP_p-4_n-10_m-5_ins-7,WLP,med,2.24756
Kirlik14-ILP_p-4_n-10_m-5_ins-7,WLP,mofv,2.12945
Kirlik14-ILP_p-4_n-10_m-5_ins-7,WLP,rand,2.19145
Kirlik14-ILP_p-4_n-10_m-5_ins-8,WLP,med,1.3571
Kirlik14-ILP_p-4_n-10_m-5_ins-8,WLP,mofv,1.30976
Kirlik14-ILP_p-4_n-10_m-5_ins-8,WLP,rand,1.1273
Kirlik14-ILP_p-4_n-10_m-5_ins-9,WLP,med,2.80254
Kirlik14-ILP_p-4_n-10_m-5_ins-9,WLP,mofv,1.87436
Kirlik14-ILP_p-4_n-10_m-5_ins-9,WLP,rand,2.37191
Kirlik14-ILP_p-4_n-20_m-10_ins-1,WLP,med,239.905
Kirlik14-ILP_p-4_n-20_m-10_ins-1,WLP,mofv,194.669
Kirlik14-ILP_p-4_n-20_m-10_ins-1,WLP,rand,209.389
Kirlik14-ILP_p-4_n-20_m-10_ins-2,WLP,med,17.7028
Kirlik14-ILP_p-4_n-20_m-10_ins-2,WLP,mofv,16.67
Kirlik14-ILP_p-4_n-20_m-10_ins-2,WLP,rand,16.8949
Kirlik14-ILP_p-4_n-20_m-10_ins-3,WLP,med,10.3232
Kirlik14-ILP_p-4_n-20_m-10_ins-3,WLP,mofv,8.47416
Kirlik14-ILP_p-4_n-20_m-10_ins-3,WLP,rand,8.88036
Kirlik14-ILP_p-4_n-20_m-10_ins-4,WLP,med,447.496
Kirlik14-ILP_p-4_n-20_m-10_ins-4,WLP,mofv,378.154
Kirlik14-ILP_p-4_n-20_m-10_ins-4,WLP,rand,597.422
Kirlik14-ILP_p-4_n-20_m-10_ins-5,WLP,med,466.105
Kirlik14-ILP_p-4_n-20_m-10_ins-5,WLP,mofv,460.689
Kirlik14-ILP_p-4_n-20_m-10_ins-5,WLP,rand,400.461
Kirlik14-ILP_p-4_n-20_m-10_ins-6,WLP,med,363.892
Kirlik14-ILP_p-4_n-20_m-10_ins-6,WLP,mofv,302.298
Kirlik14-ILP_p-4_n-20_m-10_ins-6,WLP,rand,289.157
Kirlik14-ILP_p-3_n-10_m-5_ins-1,LP,mofv,1.3104
Kirlik14-ILP_p-3_n-10_m-5_ins-10,LP,mofv,0.477769
Kirlik14-ILP_p-3_n-10_m-5_ins-2,LP,mofv,1.99414
Kirlik14-ILP_p-3_n-10_m-5_ins-3,LP,mofv,2.99497
Kirlik14-ILP_p-3_n-10_m-5_ins-4,LP,mofv,6.20516
Kirlik14-ILP_p-3_n-10_m-5_ins-5,LP,mofv,2.81438
Kirlik14-ILP_p-3_n-10_m-5_ins-6,LP,mofv,0.157803
Kirlik14-ILP_p-3_n-10_m-5_ins-7,LP,mofv,1.7464
Kirlik14-ILP_p-3_n-10_m-5_ins-8,LP,mofv,11.8646
Kirlik14-ILP_p-3_n-10_m-5_ins-9,LP,mofv,1.05947
Kirlik14-ILP_p-3_n-20_m-10_ins-1,LP,mofv,31.452
Kirlik14-ILP_p-3_n-20_m-10_ins-10,LP,mofv,27.317
Kirlik14-ILP_p-3_n-20_m-10_ins-2,LP,mofv,8.93998
Kirlik14-ILP_p-3_n-20_m-10_ins-3,LP,mofv,29.5858
Kirlik14-ILP_p-3_n-20_m-10_ins-4,LP,mofv,4.23323
Kirlik14-ILP_p-3_n-20_m-10_ins-5,LP,mofv,2.65055
Kirlik14-ILP_p-3_n-20_m-10_ins-6,LP,mofv,22.5439
Kirlik14-ILP_p-3_n-20_m-10_ins-7,LP,mofv,111.777
Kirlik14-ILP_p-3_n-20_m-10_ins-8,LP,mofv,66.6124
Kirlik14-ILP_p-3_n-20_m-10_ins-9,LP,mofv,24.2067
Kirlik14-ILP_p-3_n-30_m-15_ins-1,LP,mofv,682.378
Kirlik14-ILP_p-3_n-30_m-15_ins-10,LP,mofv,86.4653
Kirlik14-ILP_p-3_n-30_m-15_ins-2,LP,mofv,58.8273
Kirlik14-ILP_p-3_n-30_m-15_ins-3,LP,mofv,3269.77
Kirlik14-ILP_p-3_n-30_m-15_ins-4,LP,mofv,1028.67
Kirlik14-ILP_p-3_n-30_m-15_ins-5,LP,mofv,482.869
Kirlik14-ILP_p-3_n-30_m-15_ins-6,LP,mofv,308.022
Kirlik14-ILP_p-3_n-30_m-15_ins-7,LP,mofv,370.253
Kirlik14-ILP_p-3_n-30_m-15_ins-8,LP,mofv,2873.34
Kirlik14-ILP_p-3_n-30_m-15_ins-9,LP,mofv,239.04
Kirlik14-ILP_p-4_n-10_m-5_ins-1,LP,mofv,15.7893
Kirlik14-ILP_p-4_n-10_m-5_ins-10,LP,mofv,2.05097
Kirlik14-ILP_p-4_n-10_m-5_ins-2,LP,mofv,3.07641
Kirlik14-ILP_p-4_n-10_m-5_ins-3,LP,mofv,19.7255
Kirlik14-ILP_p-4_n-10_m-5_ins-4,LP,mofv,1.16961
Kirlik14-ILP_p-4_n-10_m-5_ins-5,LP,mofv,19.0694
Kirlik14-ILP_p-4_n-10_m-5_ins-6,LP,mofv,13.4671
Kirlik14-ILP_p-4_n-10_m-5_ins-7,LP,mofv,3.22083
Kirlik14-ILP_p-4_n-10_m-5_ins-8,LP,mofv,2.04206
Kirlik14-ILP_p-4_n-10_m-5_ins-9,LP,mofv,3.17337
Kirlik14-ILP_p-4_n-20_m-10_ins-1,LP,mofv,339.428
Kirlik14-ILP_p-4_n-20_m-10_ins-10,LP,mofv,108.98
Kirlik14-ILP_p-4_n-20_m-10_ins-2,LP,mofv,29.789
Kirlik14-ILP_p-4_n-20_m-10_ins-3,LP,mofv,16.0661
Kirlik14-ILP_p-4_n-20_m-10_ins-4,LP,mofv,603.28
Kirlik14-ILP_p-4_n-20_m-10_ins-5,LP,mofv,710.414
Kirlik14-ILP_p-4_n-20_m-10_ins-6,LP,mofv,514.223
Kirlik14-ILP_p-4_n-20_m-10_ins-7,LP,mofv,1845.61
Kirlik14-ILP_p-4_n-20_m-10_ins-8,LP,mofv,554.392
Kirlik14-ILP_p-4_n-20_m-10_ins-9,LP,mofv,87.2262
Kirlik14-ILP_p-4_n-30_m-15_ins-1,LP,mofv,540.919
Kirlik14-ILP_p-4_n-30_m-15_ins-10,LP,mofv,3462.43
Kirlik14-ILP_p-4_n-30_m-15_ins-2,LP,mofv,3582.83
Kirlik14-ILP_p-4_n-30_m-15_ins-3,LP,mofv,1704.07
Kirlik14-ILP_p-4_n-30_m-15_ins-4,LP,mofv,3595.8
Kirlik14-ILP_p-4_n-30_m-15_ins-5,LP,mofv,2116.68
Kirlik14-ILP_p-4_n-30_m-15_ins-6,LP,mofv,67.9979
Kirlik14-ILP_p-4_n-30_m-15_ins-7,LP,mofv,1284.51
Kirlik14-ILP_p-4_n-30_m-15_ins-8,LP,mofv,3370
Kirlik14-ILP_p-4_n-30_m-15_ins-9,LP,mofv,1852.34
Kirlik14-ILP_p-5_n-10_m-5_ins-1,LP,mofv,5.75119
Kirlik14-ILP_p-5_n-10_m-5_ins-10,LP,mofv,24.6481
Kirlik14-ILP_p-5_n-10_m-5_ins-2,LP,mofv,14.9313
Kirlik14-ILP_p-5_n-10_m-5_ins-3,LP,mofv,19.484
Kirlik14-ILP_p-5_n-10_m-5_ins-4,LP,mofv,12.7801
Kirlik14-ILP_p-5_n-10_m-5_ins-5,LP,mofv,21.6921
Kirlik14-ILP_p-5_n-10_m-5_ins-6,LP,mofv,3.66828
Kirlik14-ILP_p-5_n-10_m-5_ins-7,LP,mofv,2.34203
Kirlik14-ILP_p-5_n-10_m-5_ins-8,LP,mofv,12.031
Kirlik14-ILP_p-5_n-10_m-5_ins-9,LP,mofv,1.20388
Kirlik14-ILP_p-5_n-20_m-10_ins-1,LP,mofv,3588.05
Kirlik14-ILP_p-5_n-20_m-10_ins-10,LP,mofv,3581.06
Kirlik14-ILP_p-5_n-20_m-10_ins-2,LP,mofv,545.452
Kirlik14-ILP_p-5_n-20_m-10_ins-3,LP,mofv,3448.87
Kirlik14-ILP_p-5_n-20_m-10_ins-4,LP,mofv,3599.75
Kirlik14-ILP_p-5_n-20_m-10_ins-5,LP,mofv,3597.59
Kirlik14-ILP_p-5_n-20_m-10_ins-6,LP,mofv,156.583
