instance,p,n,configLB,configNodeSel,configOB,configValSplit,solved,YN,cpuTotal,nbLpSolved,cpuInitialization,cpuCplex,cpuUpdatePolyhedron,nbNodes,minDepth,maxDepth,avgDepth,nbFathomedInfeas,nbFathomedOptimality,nbFathomedDominance,cpuDominanceTest,cpuUbUpdate,cpuLbComputation,cpuComputeOb,cpuVarSel,cpuNodeSel,cpuLbCopy
Forget21-PPP_21_3_1-100_1-100_1-2500_1_50_random_4_4.txt,3,63,WLP,breadth,noOB,mofvRevisited2,1,1183,759.175,3411608,0.0007423,687.313,28.7556,162921,1,72,21.5997,4117,3747,73597,1.342,1.46384,748.552,0.0257176,5.2363,0.04409,4.14328
Forget21-PPP_21_3_1-100_1-100_1-2500_1_50_random_4_4.txt,3,63,WLP,breadth,noOB,rand,1,1183,740.84,3407357,0.0010302,669.2,28.7059,162007,1,68,21.4826,4123,3870,73011,1.30716,1.4706,730.276,0.0252798,5.20347,0.0456329,4.15148
Forget21-PPP_21_3_1-100_1-100_1-2500_1_50_random_5_5.txt,3,63,WLP,breadth,noOB,med2,1,1155,1304.33,5347847,0.0007169,1168.81,45.8812,344499,1,131,31.4678,10909,1099,160242,5.35773,2.72625,1280.78,0.0514447,9.55486,1.10947,7.41999
Forget21-PPP_21_3_1-100_1-100_1-2500_1_50_random_5_5.txt,3,63,WLP,breadth,noOB,mofvRevisited2,1,1155,1204.62,5062896,0.0007987,1087.77,43.308,280237,1,67,21.8058,8994,1750,129375,2.38639,2.32047,1186.25,0.0415764,8.27186,1.31929,6.50161
Forget21-PPP_21_3_1-100_1-100_1-2500_1_50_random_5_5.txt,3,63,WLP,breadth,noOB,rand,1,1155,1310.3,5064744,0.0009532,1193.21,43.5222,280771,1,75,21.8606,8941,1905,129540,2.60713,2.40995,1291.94,0.0403398,8.21478,0.97048,6.48061
Forget21-PPP_21_3_1-100_1-100_1-2500_1_50_random_6_6.txt,3,63,WLP,breadth,noOB,med2,1,8093,3560.38,11335762,0.0007182,2791.73,86.6826,1808053,1,115,41.2725,307463,13590,582974,268.16,39.6634,3194.21,0.527922,36.3575,0.576094,27.7024
Forget21-PPP_21_3_1-100_1-100_1-2500_1_50_random_6_6.txt,3,63,WLP,breadth,noOB,mofvRevisited2,1,8093,2827.16,9531775,0.0009768,2314.27,77.2175,1137627,1,82,39.593,157617,22716,388481,152.212,39.9044,2594.46,0.264859,25.6825,0.315669,19.2752
Forget21-PPP_21_3_1-100_1-100_1-2500_1_50_random_6_6.txt,3,63,WLP,breadth,noOB,rand,1,8093,2522.66,9392071,0.0009176,2028.25,78.2278,1095335,1,82,39.0942,150415,21388,375865,138.666,37.6239,2303.39,0.257952,25.1843,3.52773,19.6357
Forget21-PPP_21_3_1-100_1-100_1-2500_1_50_random_7_7.txt,3,63,WLP,breadth,noOB,med2,1,5650,1966.29,7140996,0.0017139,1534.92,56.0089,1004691,1,87,37.9187,191382,8858,302106,144.076,21.0309,1767.75,0.24527,20.807,0.503317,15.7092
Forget21-PPP_21_3_1-100_1-100_1-2500_1_50_random_7_7.txt,3,63,WLP,breadth,noOB,mofvRevisited2,1,5650,1784.51,6598895,0.0012348,1451.03,54.1968,710849,1,84,39.5083,97343,12398,245684,106.105,18.4976,1633.54,0.159226,16.7751,0.196938,12.8442
Forget21-PPP_21_3_1-100_1-100_1-2500_1_50_random_7_7.txt,3,63,WLP,breadth,noOB,rand,1,5650,1852.65,6888293,0.0007673,1485.48,55.8495,792403,1,82,40.2422,111858,13261,271083,119.438,20.5089,1684.27,0.173572,17.8464,0.305659,13.8921
Forget21-PPP_21_3_1-100_1-100_1-2500_1_50_random_8_8.txt,3,63,WLP,breadth,noOB,med2,0,776,3600.44,15495535,0.0010078,2536.44,110.294,3691041,1,47,43.4541,585658,519,741740,86.2637,20.0079,3303.09,0.846779,66.1575,72.4107,49.0283
Forget21-PPP_21_3_1-100_1-100_1-2500_1_50_random_8_8.txt,3,63,WLP,breadth,noOB,mofvRevisited2,0,962,3600.4,14253082,0.0034383,2638.1,98.4855,3388001,1,49,45.4498,544828,1007,1057998,102.118,18.1395,3327.51,0.617777,50.7287,55.9728,36.8903
Forget21-PPP_21_3_1-100_1-100_1-2500_1_50_random_8_8.txt,3,63,WLP,breadth,noOB,rand,0,902,3600.41,14752400,0.0012721,2596.3,105.005,3466785,1,48,44.602,535542,817,762547,91.5458,18.8724,3314.41,0.804595,61.1512,65.6267,45.5798
Forget21-PPP_12_5_1-100_1-100_1-2500_1_50_random_10_10.txt,5,36,LP,breadth,noOB,mofvRevisited2,1,7913,2498.03,4958284,181.181,576.948,56.2552,283351,1,62,33.2085,39396,16360,85920,1449.97,194.014,845.45,0.166909,1.73082,0.0658148,0
Forget21-PPP_12_5_1-100_1-100_1-2500_1_50_random_1_1.txt,5,36,LP,breadth,noOB,mofvRevisited2,0,5532,3600.08,8967656,239.792,1233.65,199.742,335027,1,30,26.2096,37084,927,104231,1768.6,101.79,1715.05,0.212825,2.80032,0.079882,0
Forget21-PPP_12_5_1-100_1-100_1-2500_1_50_random_2_2.txt,5,36,LP,breadth,noOB,mofvRevisited2,1,2390,1070.85,5080800,213.892,511.899,53.4995,362647,1,52,30.3031,57968,6781,116575,216.853,32.0268,814.61,0.0740228,1.61463,0.0717324,0
Forget21-PPP_12_5_1-100_1-100_1-2500_1_50_random_3_3.txt,5,36,LP,breadth,noOB,mofvRevisited2,1,13200,1749.33,2632307,102.769,271.654,20.8568,162951,1,60,32.161,14734,20566,46176,1058.28,273.45,413.209,0.116667,1.03685,0.0352373,0
Forget21-PPP_12_5_1-100_1-100_1-2500_1_50_random_4_4.txt,5,36,LP,breadth,noOB,mofvRevisited2,0,17122,3600.04,2281148,101.968,274.001,32.9702,130835,1,37,29.3613,10756,17675,32558,1825.04,1347.76,423.035,0.109815,0.985277,0.032217,0
Forget21-PPP_12_5_1-100_1-100_1-2500_1_50_random_5_5.txt,5,36,LP,breadth,noOB,mofvRevisited2,1,4279,535.097,2032033,77.9102,232.457,20.4048,109955,1,55,29.8632,7903,11298,35777,147.559,41.8545,342.671,0.0381907,0.63865,0.0253645,0
Forget21-PPP_12_5_1-100_1-100_1-2500_1_50_random_6_6.txt,5,36,LP,breadth,noOB,mofvRevisited2,1,3786,1015.13,1964332,69.7952,195.984,23.1896,120173,1,54,31.6984,14690,7022,38375,656.347,53.7956,301.652,0.0726407,0.729599,0.0251256,0
Forget21-PPP_12_5_1-100_1-100_1-2500_1_50_random_7_7.txt,5,36,LP,breadth,noOB,mofvRevisited2,1,2536,144.722,627533,26.6169,71.6011,8.95964,37831,1,47,26.93,3576,5116,10224,25.7482,7.12892,110.931,0.0110049,0.193724,0.00723311,0
Forget21-PPP_12_5_1-100_1-100_1-2500_1_50_random_8_8.txt,5,36,LP,breadth,noOB,mofvRevisited2,0,5664,3600.07,6595047,217.144,816.427,117.888,327546,1,34,29.2874,40623,4593,102526,2192.42,207.903,1188.42,0.194784,2.25306,0.0770629,0
