instance,p,n,configLB,configNodeSel,configOB,configValSplit,solved,YN,cpuTotal,nbLpSolved,cpuInitialization,cpuCplex,cpuUpdatePolyhedron,nbNodes,minDepth,maxDepth,avgDepth,nbFathomedInfeas,nbFathomedOptimality,nbFathomedDominance,cpuDominanceTest,cpuUbUpdate,cpuLbComputation,cpuComputeOb,cpuVarSel,cpuNodeSel,cpuLbCopy
Forget21-PPP_9_4_1-100_1-100_1-2500_1_50_random_10_10.txt,4,27,WLP,breadth,noOB,mofvRevisited2,1,332,1.92273,12253,0.0006965,1.43667,0.110529,3267,1,39,25.9841,461,532,641,0.088484,0.0100156,1.7421,0.0005198,0.0503856,0.0004462,0.0415917
Forget21-PPP_9_4_1-100_1-100_1-2500_1_50_random_1_1.txt,4,27,WLP,breadth,noOB,mofvRevisited2,1,478,3.33538,20631,0.0031068,2.50591,0.212101,4615,1,45,25.3501,455,834,1019,0.200989,0.0174222,2.99827,0.0007277,0.0749487,0.0006992,0.0623662
Forget21-PPP_9_4_1-100_1-100_1-2500_1_50_random_2_2.txt,4,27,WLP,breadth,noOB,mofvRevisited2,1,1294,13.4873,70689,0.0007351,8.60354,0.779073,15119,1,45,27.061,925,2511,4124,2.65414,0.100539,10.2881,0.0026776,0.286453,0.0029485,0.240032
Forget21-PPP_9_4_1-100_1-100_1-2500_1_50_random_3_3.txt,4,27,WLP,breadth,noOB,mofvRevisited2,1,259,1.60751,9583,0.0006869,1.23406,0.136665,1985,1,35,21.3051,350,352,291,0.054716,0.0050509,1.48755,0.0003614,0.0376166,0.0002665,0.0321764
Forget21-PPP_9_4_1-100_1-100_1-2500_1_50_random_4_4.txt,4,27,WLP,breadth,noOB,mofvRevisited2,1,175,0.863035,5553,0.0006919,0.697957,0.062169,937,1,33,18.4328,58,232,179,0.011805,0.0026521,0.818894,0.0001326,0.0157771,0.0001088,0.0132209
Forget21-PPP_9_4_1-100_1-100_1-2500_1_50_random_5_5.txt,4,27,WLP,breadth,noOB,mofvRevisited2,1,1101,4.50445,23866,0.0007171,2.94341,0.24559,5581,1,36,20.5844,371,1422,998,0.805373,0.038393,3.51523,0.0010561,0.0939504,0.0009983,0.077288
Forget21-PPP_9_4_1-100_1-100_1-2500_1_50_random_6_6.txt,4,27,WLP,breadth,noOB,mofvRevisited2,1,263,1.40327,8578,0.0007059,1.10814,0.110303,1581,1,35,20.3363,125,354,312,0.0406815,0.0048396,1.31463,0.0002468,0.026137,0.0002055,0.0217456
Forget21-PPP_9_4_1-100_1-100_1-2500_1_50_random_7_7.txt,4,27,WLP,breadth,noOB,mofvRevisited2,1,279,1.95599,12363,0.0007085,1.53278,0.144008,2425,1,43,24.8969,171,471,571,0.0589221,0.0078375,1.81996,0.0003299,0.0422745,0.0003274,0.0355683
Forget21-PPP_9_4_1-100_1-100_1-2500_1_50_random_8_8.txt,4,27,WLP,breadth,noOB,mofvRevisited2,1,2665,11.4974,51658,0.0006863,6.35492,0.513373,12059,1,47,26.1932,647,3193,2190,3.40728,0.167804,7.59034,0.0023405,0.21352,0.0023232,0.176356
Forget21-PPP_9_4_1-100_1-100_1-2500_1_50_random_9_9.txt,4,27,WLP,breadth,noOB,mofvRevisited2,1,919,4.34769,23092,0.0007051,2.94739,0.247454,4677,1,40,23.1073,221,1111,1007,0.712484,0.0328184,3.47214,0.0008498,0.0827589,0.0007739,0.0686951
Forget21-UFLP_3_5_1-1000_1-100_spheredown_1_1.txt,5,12,WLP,breadth,noOB,mofvRevisited2,1,25,0.263325,965,0.0014172,0.145314,0.0959317,195,2,11,8.58163,59,39,0,0.0003947,0.0001327,0.248891,2.92e-05,0.0064156,2.36e-05,0.0059894
Forget21-UFLP_3_5_1-1000_1-100_spheredown_1_10.txt,5,12,WLP,breadth,noOB,mofvRevisited2,1,27,0.262761,985,0.0008516,0.145624,0.0952101,199,3,11,8.54,61,39,0,0.0004188,0.0001759,0.248224,2.78e-05,0.0068998,2.7e-05,0.0064687
Forget21-UFLP_3_5_1-1000_1-100_spheredown_1_2.txt,5,12,WLP,breadth,noOB,mofvRevisited2,1,25,0.29289,947,0.0008825,0.176071,0.09045,199,2,11,8.78,58,41,1,0.0007637,0.0001853,0.276156,3.51e-05,0.0082172,4.14e-05,0.0076836
Forget21-UFLP_3_5_1-1000_1-100_spheredown_1_3.txt,5,12,WLP,breadth,noOB,mofvRevisited2,1,27,0.358495,1048,0.0013421,0.174316,0.156172,189,2,11,8.71579,54,41,0,0.0003897,0.0001479,0.339345,2.94e-05,0.0077816,3.92e-05,0.0072789
Forget21-UFLP_3_5_1-1000_1-100_spheredown_1_4.txt,5,12,WLP,breadth,noOB,mofvRevisited2,1,27,0.388038,1018,0.0010353,0.181822,0.183629,167,2,11,8.35714,49,35,0,0.0001779,0.0001714,0.373133,2.53e-05,0.0076071,2.39e-05,0.007203
Forget21-UFLP_3_5_1-1000_1-100_spheredown_1_5.txt,5,12,WLP,breadth,noOB,mofvRevisited2,1,27,0.336,1080,0.0008547,0.166515,0.146763,199,2,11,8.54,61,39,0,0.0004188,0.0001303,0.321041,3.5e-05,0.0072598,2.39e-05,0.0068185
Forget21-UFLP_3_5_1-1000_1-100_spheredown_1_6.txt,5,12,WLP,breadth,noOB,mofvRevisited2,1,27,0.308109,1043,0.0008321,0.155294,0.129019,195,2,11,8.58163,59,39,0,0.0003168,0.0001596,0.291719,2.62e-05,0.0066277,2.29e-05,0.0061969
Forget21-UFLP_3_5_1-1000_1-100_spheredown_1_7.txt,5,12,WLP,breadth,noOB,mofvRevisited2,1,27,0.301146,998,0.0011604,0.164976,0.108069,199,2,11,8.54,61,39,0,0.0010103,0.0001469,0.283013,5.27e-05,0.0091583,4.35e-05,0.0085261
Forget21-UFLP_3_5_1-1000_1-100_spheredown_1_8.txt,5,12,WLP,breadth,noOB,mofvRevisited2,1,27,0.466843,1138,0.0025008,0.20447,0.235679,177,2,11,8.44944,52,37,0,0.0002861,0.000128,0.450482,2.72e-05,0.0080501,3.16e-05,0.0076235
Forget21-UFLP_3_5_1-1000_1-100_spheredown_1_9.txt,5,12,WLP,breadth,noOB,mofvRevisited2,1,27,0.388662,1139,0.0014398,0.188012,0.174301,213,2,11,8.76636,62,45,0,0.000317,0.0001534,0.371276,2.8e-05,0.0076349,2.81e-05,0.0072013
